fy,commodity_type,original_value_1000s,count,prop,prop_magnitude_vs_next
2016-2017,G,10000,133,0.067,1.02
2016-2017,G,24000,131,0.066,1.02
2016-2017,G,11000,128,0.065,1.18
2017-2018,G,24000,545,0.087,1.34
2017-2018,G,10000,410,0.065,1.1
2017-2018,G,11000,371,0.059,1.16
2018-2019,G,24000,521,0.084,1.14
2018-2019,G,10000,460,0.074,1.19
2018-2019,G,11000,389,0.062,1.13
2019-2020,G,24000,574,0.085,1.18
2019-2020,G,10000,484,0.072,1.14
2019-2020,G,11000,424,0.063,1.24
2020-2021,G,24000,523,0.077,1.17
2020-2021,G,10000,444,0.066,1.18
2020-2021,G,11000,379,0.056,1.17
2021-2022,G,24000,179,0.066,1.12
2021-2022,G,10000,161,0.059,1.11
2021-2022,G,12000,144,0.053,1.02
2016-2017,S,24000,627,0.17,2.21
2016-2017,S,10000,284,0.077,1.35
2016-2017,S,11000,209,0.057,1.33
2017-2018,S,24000,1752,0.161,2.4
2017-2018,S,10000,722,0.067,1.05
2017-2018,S,11000,691,0.064,1.56
2018-2019,S,24000,1922,0.163,2.67
2018-2019,S,10000,721,0.061,1
2018-2019,S,11000,720,0.061,1.49
2019-2020,S,24000,1486,0.111,1.88
2019-2020,S,10000,794,0.059,1.23
2019-2020,S,11000,649,0.048,1.23
2020-2021,S,39000,1113,0.081,1.59
2020-2021,S,11000,700,0.051,1
2020-2021,S,24000,702,0.051,1.06
2021-2022,S,39000,532,0.086,1.69
2021-2022,S,11000,315,0.051,1.04
2021-2022,S,10000,305,0.049,1.07
