fy,original_value_1000s,count,prop,prop_magnitude_vs_next
2016-2017,24000,758,0.134,1.81
2016-2017,10000,417,0.074,1.23
2016-2017,11000,337,0.06,1.36
2017-2018,24000,2297,0.134,2.03
2017-2018,10000,1132,0.066,1.06
2017-2018,11000,1062,0.062,1.38
2018-2019,24000,2443,0.135,2.08
2018-2019,10000,1181,0.065,1.07
2018-2019,11000,1109,0.061,1.33
2019-2020,24000,2060,0.102,1.62
2019-2020,10000,1278,0.063,1.19
2019-2020,11000,1073,0.053,1.23
2020-2021,24000,1225,0.06,1.05
2020-2021,39000,1160,0.057,1.06
2020-2021,10000,1104,0.054,1.02
2021-2022,39000,555,0.062,1.19
2021-2022,10000,466,0.052,1
2021-2022,24000,465,0.052,1.02
